filename,contrast,exposure,scale,variance,border_variance,average_motion_x,average_motion_y,t_variance,t_border_variance,t_average_motion_x,t_average_motion_y,orb_variance,orb_border_variance,orb_average_motion_x,orb_average_motion_y,movement
LeDoulos_V1-0262,52.139,59.436,MEDIUM LONG SHOT,33.519,,-0.226,0.151,33.9,,0.028,-0.016,4530319.0,,0.032,0.048,STATIC
LeDoulos_V1-0263,31.839,20.511,LONG SHOT,,,,,,,,,5284651.0,,-5.89,-0.175,", PAN"
LeDoulos_V1-0264,16.762,12.974,MEDIUM LONG SHOT,1.571,0.132,-0.046,-0.105,2.985,0.105,-0.056,-0.04,6845710.0,,-0.474,-0.328,STATIC
LeDoulos_V1-0265,29.722,28.413,MEDIUM LONG SHOT,,,,,,,,,15720246.0,,-1.499,-0.042,"HANDHELD, PAN"
LeDoulos_V1-0266,45.705,56.421,MEDIUM LONG SHOT,119.477,35.142,-0.406,0.576,123.454,46.649,-0.113,-0.162,4532326.5,,-0.166,0.668,"PAN, TILT"
LeDoulos_V1-0267,49.595,48.568,MEDIUM LONG SHOT,81.713,,-1.58,0.163,514.274,,0.177,0.297,9958741.0,,-1.629,0.134,STATIC
LeDoulos_V1-0268,61.795,49.566,MEDIUM CLOSE-UP,,,,,,,,,,,,,
LeDoulos_V1-0269,64.015,38.741,UNKNOWN,0.099,0.127,-0.037,0.008,0.017,0.014,-0.001,-0.0,0.399,,-0.025,0.008,STATIC
LeDoulos_V1-0270,16.803,13.499,MEDIUM LONG SHOT,,,,,,,,,72450328.0,,2.535,-0.309,"HANDHELD, PAN, TILT"
LeDoulos_V1-0271,49.011,59.891,MEDIUM LONG SHOT,86.762,37.003,-0.242,0.518,88.039,38.517,0.155,0.028,2286540.75,,-0.352,0.472,"PAN, TILT"
LeDoulos_V1-0272,48.774,73.59,LONG SHOT,,,,,,,,,1915008640.0,,9.247,-0.138,"HANDHELD, PAN"
LeDoulos_V1-0273,53.225,53.085,MEDIUM LONG SHOT,263.054,,6.009,-0.957,225.761,,-1.135,-0.021,1494587.625,,4.419,-0.602,STATIC
LeDoulos_V1-0274,49.39,53.655,LONG SHOT,,,,,,,,,35153340.0,,-10.117,0.009,"HANDHELD, PAN"
LeDoulos_V1-0275,49.876,50.628,MEDIUM LONG SHOT,34.007,0.384,0.566,-0.902,34.731,0.064,-0.221,-0.317,1598.317,,0.736,-0.511,STATIC
LeDoulos_V1-0276,53.583,57.11,MEDIUM LONG SHOT,0.228,0.0,0.007,-0.028,0.143,0.342,-0.0,0.009,10769380.0,,-0.012,-0.011,STATIC
LeDoulos_V1-0277,46.832,53.144,MEDIUM LONG SHOT,23.715,,-0.344,0.504,23.715,,-0.344,0.504,21100370.0,,0.125,-0.062,STATIC
LeDoulos_V1-0278,47.834,48.084,MEDIUM LONG SHOT,,,,,,,,,3115847.75,,-3.216,-1.648,", PAN, TILT"
LeDoulos_V1-0279,51.559,69.522,UNKNOWN,,,,,,,,,3707181.5,,-0.388,-0.355,", PAN, TILT"
LeDoulos_V1-0280,54.794,70.168,MEDIUM LONG SHOT,75.69,,-0.135,-0.168,76.634,,0.029,-0.052,8449986.0,,-0.024,-0.109,STATIC
LeDoulos_V1-0281,43.638,55.109,MEDIUM CLOSE-UP,37.13,,0.772,0.473,37.13,,0.772,0.473,998.264,,0.019,0.146,STATIC
LeDoulos_V1-0282,54.899,70.872,MEDIUM LONG SHOT,11.352,,-0.231,-0.107,11.43,,-0.277,0.072,16.113,,-0.129,0.085,STATIC
LeDoulos_V1-0283,44.164,54.578,MEDIUM CLOSE-UP,8.024,,-0.325,0.001,8.024,,-0.325,0.001,278043.656,,-0.143,-0.027,STATIC
LeDoulos_V1-0284,55.467,68.673,MEDIUM LONG SHOT,0.005,0.005,-0.002,-0.005,0.005,0.005,-0.002,-0.005,24736110.0,,0.028,-0.142,STATIC
LeDoulos_V1-0285,45.292,58.256,MEDIUM CLOSE-UP,,,,,,,,,,,,,
LeDoulos_V1-0286,51.958,62.861,MEDIUM LONG SHOT,378.784,,2.504,0.026,387.96,,2.02,-0.886,7042058.5,,0.73,0.947,STATIC
LeDoulos_V1-0287,43.966,55.798,MEDIUM CLOSE-UP,10.166,1.238,-1.826,-0.615,10.166,1.238,-1.826,-0.615,182307.812,,-1.602,-0.467,STATIC
LeDoulos_V1-0288,48.039,57.649,MEDIUM LONG SHOT,0.069,0.0,0.004,0.005,0.069,0.0,0.004,0.005,34487.551,,-0.235,0.02,STATIC
LeDoulos_V1-0289,44.033,57.842,MEDIUM CLOSE-UP,0.967,,0.663,0.219,0.967,,0.663,0.219,230821.203,,0.448,0.076,STATIC
LeDoulos_V1-0290,57.859,67.199,MEDIUM LONG SHOT,,,,,,,,,908444.375,,8.015,-1.624,", PAN, TILT"
LeDoulos_V1-0291,44.582,53.822,MEDIUM LONG SHOT,165.275,,1.173,0.121,1174.738,,-0.299,-0.103,12665267.0,,-0.575,0.003,STATIC
LeDoulos_V1-0292,45.729,52.053,MEDIUM CLOSE-UP,0.204,0.067,0.036,-0.063,0.188,0.543,0.022,-0.008,11.307,,0.037,-0.059,STATIC
LeDoulos_V1-0293,44.505,55.802,MEDIUM CLOSE-UP,1191.687,,7.975,-3.506,1191.687,,7.975,-3.506,10065369.0,,-0.38,-1.275,STATIC
LeDoulos_V1-0294,43.288,57.484,LONG SHOT,,,,,,,,,23443578.0,,9.605,-1.039,"HANDHELD, PAN, TILT"
LeDoulos_V1-0295,52.887,58.062,MEDIUM CLOSE-UP,106.771,15.889,-1.183,-0.154,106.771,15.889,-1.183,-0.154,1833403.5,,-0.268,-0.214,PAN
LeDoulos_V1-0296,49.084,56.588,LONG SHOT,0.18,0.133,0.03,-0.009,1069.978,0.064,-1.693,0.077,0.638,,-0.013,-0.067,STATIC
LeDoulos_V1-0297,51.863,55.845,MEDIUM LONG SHOT,,,,,,,,,6730397.5,,0.102,-0.042,
LeDoulos_V1-0298,50.83,66.404,MEDIUM LONG SHOT,6.921,6.921,-0.032,0.001,29134436.0,29134436.0,-169.657,-0.316,10415.115,,-0.007,0.017,STATIC
LeDoulos_V1-0299,46.202,55.788,MEDIUM CLOSE-UP,,,,,,,,,,,,,
LeDoulos_V1-0300,49.515,70.939,MEDIUM CLOSE-UP,0.135,0.104,-0.056,0.033,0.212,0.405,0.024,-0.002,784002.438,,-0.104,0.065,STATIC
LeDoulos_V1-0301,53.119,48.488,MEDIUM CLOSE-UP,0.588,0.439,-0.091,0.031,0.372,0.349,-0.006,0.009,27.678,,-0.067,0.053,STATIC
LeDoulos_V1-0302,48.741,70.368,MEDIUM CLOSE-UP,0.158,0.117,0.001,0.012,0.255,0.462,0.025,0.0,1013736.75,,-0.01,0.024,STATIC
LeDoulos_V1-0303,46.767,55.562,MEDIUM CLOSE-UP,2.992,0.293,-0.312,-0.13,8.295,32.08,0.0,-0.147,18.188,,-0.406,0.003,STATIC
LeDoulos_V1-0304,50.188,72.939,MEDIUM CLOSE-UP,0.211,0.114,-0.016,-0.023,0.211,0.114,-0.016,-0.023,18719258.0,,-0.053,0.014,STATIC
LeDoulos_V1-0305,42.765,50.826,MEDIUM CLOSE-UP,0.451,0.229,-0.08,0.095,0.451,0.229,-0.08,0.095,2.888,,-0.138,0.195,STATIC
LeDoulos_V1-0306,54.938,73.67,MEDIUM CLOSE-UP,0.132,0.096,0.005,0.0,0.033,0.086,-0.0,-0.0,348827.062,,0.005,0.009,STATIC
LeDoulos_V1-0307,48.395,54.362,MEDIUM CLOSE-UP,14.453,4.091,-0.438,-0.943,14.453,4.091,-0.438,-0.943,317.647,,-3.677,-2.042,STATIC
LeDoulos_V1-0308,50.972,78.466,MEDIUM LONG SHOT,,,,,,,,,158559504.0,,0.68,29.388,"HANDHELD, PAN, TILT"
LeDoulos_V1-0309,63.682,76.858,MEDIUM LONG SHOT,76.163,,13.138,-6.458,76.163,,13.138,-6.458,30784358.0,,12.58,-6.361,STATIC
LeDoulos_V1-0310,49.689,60.586,MEDIUM LONG SHOT,263.275,63.44,0.797,0.321,500.343,595.205,-0.083,-1.209,22773890.0,,2.185,-0.683,"HANDHELDPAN, TILT"
LeDoulos_V1-0311,51.162,44.097,MEDIUM LONG SHOT,596.884,,-0.3,-1.192,455.231,,-1.444,-0.879,23404244.0,,-1.204,-0.293,STATIC
LeDoulos_V1-0312,44.443,56.65,MEDIUM CLOSE-UP,0.199,0.068,0.056,0.085,0.013,0.012,-0.0,-0.0,1.858,,0.08,0.122,STATIC
LeDoulos_V1-0313,51.394,68.516,LONG SHOT,1148.775,,1.991,-2.73,1709.708,,-2.669,0.119,265653.594,,4.786,-0.122,STATIC
LeDoulos_V1-0314,44.517,56.208,MEDIUM CLOSE-UP,0.902,0.941,-0.104,-0.001,396.109,0.939,-0.604,-0.732,1.24,,-0.033,-0.026,STATIC
LeDoulos_V1-0315,57.258,66.8,MEDIUM LONG SHOT,1540.21,,13.005,-2.731,2325.842,,4.885,-2.184,117098848.0,,15.778,-2.065,STATIC
LeDoulos_V1-0316,41.87,53.574,MEDIUM CLOSE-UP,414.548,,-1.983,0.933,32361.027,,-8.561,1.238,11066796.0,,-0.191,0.194,STATIC
LeDoulos_V1-0317,52.628,57.855,MEDIUM LONG SHOT,114.877,,3.871,-0.225,144.43,,-0.55,-0.145,17237138.0,,4.004,0.093,STATIC
LeDoulos_V1-0318,60.826,49.324,MEDIUM LONG SHOT,,,,,,,,,27644240.0,,-0.002,0.065,HANDHELD
LeDoulos_V1-0319,45.622,58.85,MEDIUM CLOSE-UP,0.192,0.173,0.114,0.022,0.192,0.173,0.114,0.022,707.628,,0.065,0.042,STATIC
LeDoulos_V1-0320,65.439,73.67,MEDIUM LONG SHOT,,,,,,,,,,,,,
LeDoulos_V1-0321,53.736,59.701,MEDIUM CLOSE-UP,,,,,,,,,,,,,
LeDoulos_V1-0322,55.028,75.783,MEDIUM CLOSE-UP,0.0,0.0,-0.0,0.001,0.0,0.0,-0.0,0.001,651252.375,,-0.066,0.07,STATIC
LeDoulos_V1-0323,45.641,51.187,MEDIUM CLOSE-UP,13.632,5.494,0.061,-0.045,35.394,63.041,0.418,0.186,340799.875,,0.26,-0.385,STATIC
LeDoulos_V1-0324,43.397,52.392,CLOSE-UP,0.201,0.027,-0.014,0.02,0.029,0.064,-0.0,-0.0,115022.008,,-0.01,0.058,STATIC
LeDoulos_V1-0325,54.415,68.747,CLOSE-UP,15.676,5.388,0.023,-0.001,10.43,8.441,-0.02,0.026,8509.16,,0.169,-0.053,STATIC
LeDoulos_V1-0326,44.7,53.704,CLOSE-UP,,,,,,,,,,,,,
LeDoulos_V1-0327,53.909,67.476,CLOSE-UP,0.237,0.093,0.067,-0.023,0.237,0.093,0.067,-0.023,8.477,,-0.137,0.145,STATIC
LeDoulos_V1-0328,43.772,51.87,CLOSE-UP,0.283,0.153,0.003,0.086,0.023,0.037,-0.0,0.0,22203184.0,,0.032,0.091,STATIC
LeDoulos_V1-0329,54.127,68.161,CLOSE-UP,6.913,6.453,-0.066,-0.067,5.237,10.161,-0.079,0.0,916.776,,-0.111,-0.1,STATIC
LeDoulos_V1-0330,43.634,52.533,CLOSE-UP,0.256,0.123,0.21,-0.148,0.799,0.033,0.02,-0.019,84069.281,,0.514,-0.118,STATIC
LeDoulos_V1-0331,54.682,64.247,MEDIUM LONG SHOT,3520.809,,-6.651,0.372,3520.809,,-6.651,0.372,1216089.25,,-0.501,0.269,STATIC
LeDoulos_V1-0332,69.394,100.0,MEDIUM CLOSE-UP,3.096,0.078,-0.089,0.185,2.869,0.108,-0.006,0.018,348161.344,,-0.128,0.133,STATIC
LeDoulos_V1-0333,46.131,47.188,MEDIUM CLOSE-UP,6.521,0.939,-0.061,-0.044,34.355,52.952,-0.278,-0.016,21.58,,0.233,-0.025,STATIC
LeDoulos_V1-0334,69.364,100.706,MEDIUM CLOSE-UP,0.03,0.03,0.006,0.002,0.03,0.03,0.006,0.002,2458524.75,,-0.034,0.063,STATIC
LeDoulos_V1-0335,38.138,42.718,CLOSE-UP,48.487,,-3.152,0.618,44.628,,-1.222,0.561,410139.469,,0.0,0.202,STATIC
LeDoulos_V1-0336,70.142,88.142,MEDIUM CLOSE-UP,0.038,0.038,0.015,0.001,0.038,0.038,0.015,0.001,1841622.25,,0.016,0.039,STATIC
LeDoulos_V1-0337,45.231,54.461,CLOSE-UP,3.813,0.0,-0.188,-0.102,3.813,0.0,-0.188,-0.102,147344.922,,-0.499,0.016,STATIC
LeDoulos_V1-0338,70.907,88.968,MEDIUM CLOSE-UP,16.162,0.014,-0.361,0.174,16.162,0.014,-0.361,0.174,1017452.125,,-0.031,0.118,STATIC
LeDoulos_V1-0339,44.157,53.021,CLOSE-UP,46.386,0.283,0.066,-0.055,46.386,0.283,0.066,-0.055,41573.594,,-0.269,0.069,STATIC
LeDoulos_V1-0340,71.236,89.23,MEDIUM CLOSE-UP,13.632,0.028,0.049,-0.147,13.632,0.028,0.049,-0.147,2675.678,,0.025,0.053,STATIC
LeDoulos_V1-0341,45.336,53.907,CLOSE-UP,27.374,0.328,-0.103,-0.256,27.374,0.328,-0.103,-0.256,271081.094,,-0.181,-0.142,STATIC
LeDoulos_V1-0342,71.753,90.509,MEDIUM CLOSE-UP,0.0,0.0,-0.002,0.0,0.0,0.0,-0.002,0.0,690534.375,,0.456,0.002,STATIC
LeDoulos_V1-0343,45.382,53.481,CLOSE-UP,0.282,0.131,0.089,0.326,0.282,0.131,0.089,0.326,307.676,,0.096,0.501,STATIC
LeDoulos_V1-0344,72.737,90.945,MEDIUM CLOSE-UP,5.617,0.008,-0.008,0.013,5.617,0.008,-0.008,0.013,326435.031,,0.034,0.037,STATIC
LeDoulos_V1-0345,46.59,51.184,MEDIUM CLOSE-UP,593.192,,8.888,0.166,593.192,,8.888,0.166,2042948.875,,3.145,-2.136,STATIC
LeDoulos_V1-0346,53.856,58.215,MEDIUM LONG SHOT,,,,,,,,,,,,,
LeDoulos_V1-0347,50.527,59.753,MEDIUM LONG SHOT,63.812,,0.379,5.148,62.011,,-0.005,-0.301,13063667.0,,0.689,5.375,STATIC
LeDoulos_V1-0348,50.68,44.778,MEDIUM LONG SHOT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37002308.0,,-0.596,0.36,STATIC
LeDoulos_V1-0349,48.459,63.272,CLOSE-UP,,,,,,,,,24987456.0,,0.182,-5.98,"HANDHELD, TILT"
LeDoulos_V1-0350,46.861,59.677,MEDIUM CLOSE-UP,,,,,,,,,,,,,
LeDoulos_V1-0351,49.988,58.327,MEDIUM LONG SHOT,39.421,1.34,0.22,-0.098,39.421,1.34,0.22,-0.098,3841628.5,,0.082,0.001,STATIC
LeDoulos_V1-0352,48.145,60.82,MEDIUM CLOSE-UP,1.893,0.003,-0.004,0.004,0.141,0.003,-0.012,0.015,42751.441,,-0.013,-0.026,STATIC
LeDoulos_V1-0353,49.028,57.818,MEDIUM LONG SHOT,46.85,0.209,0.303,-0.086,46.85,0.209,0.303,-0.086,2107631.25,,0.139,0.031,STATIC
LeDoulos_V1-0354,45.899,57.696,MEDIUM CLOSE-UP,27.635,0.0,-0.563,0.181,27.635,0.0,-0.563,0.181,677195.812,,-0.117,0.007,STATIC
LeDoulos_V1-0355,48.989,59.394,MEDIUM LONG SHOT,176.489,,0.709,-0.546,176.489,,0.709,-0.546,678426.438,,0.137,-0.059,STATIC
LeDoulos_V1-0356,45.959,58.541,MEDIUM CLOSE-UP,0.751,0.0,0.077,-0.116,0.751,0.0,0.077,-0.116,45655.902,,0.129,-0.056,STATIC
LeDoulos_V1-0357,49.041,61.806,MEDIUM CLOSE-UP,26.175,6.78,0.551,0.135,26.175,6.78,0.551,0.135,18661.611,,1.682,0.236,STATIC
LeDoulos_V1-0358,49.661,64.31,MEDIUM CLOSE-UP,717.266,0.001,-2.755,1.248,717.266,0.001,-2.755,1.248,6504944.5,,-0.815,0.115,STATIC
LeDoulos_V1-0359,49.318,63.406,CLOSE-UP,0.168,0.168,-0.001,0.001,28.659,28.659,0.02,0.021,1186360.375,,-0.026,-0.075,STATIC
LeDoulos_V1-0360,50.795,66.005,MEDIUM CLOSE-UP,0.486,0.0,0.345,-0.076,0.486,0.0,0.345,-0.076,5014.937,,0.943,-0.388,STATIC
LeDoulos_V1-0361,50.665,67.026,CLOSE-UP,92.99,,0.736,0.135,92.99,,0.736,0.135,3929394.5,,0.153,-0.116,STATIC
LeDoulos_V1-0362,49.48,63.346,MEDIUM CLOSE-UP,0.0,0.0,-0.0,0.001,0.0,0.0,-0.0,0.001,8648.097,,0.181,-0.022,STATIC
LeDoulos_V1-0363,47.586,67.827,CLOSE-UP,36.393,2.081,-0.006,-0.109,36.393,2.081,-0.006,-0.109,1749675.625,,0.083,-0.22,STATIC
LeDoulos_V1-0364,48.631,63.99,MEDIUM CLOSE-UP,1010.834,1010.834,3.143,0.013,1010.834,1010.834,3.143,0.013,3412350.25,,-0.409,0.991,PAN
LeDoulos_V1-0365,51.354,65.937,CLOSE-UP,81.119,,0.263,-0.16,81.119,,0.263,-0.16,14558.106,,0.513,0.174,STATIC
LeDoulos_V1-0366,49.944,64.203,MEDIUM CLOSE-UP,0.0,0.0,0.003,-0.0,0.0,0.0,0.003,-0.0,3169.881,,-0.059,-0.076,STATIC
LeDoulos_V1-0367,46.356,55.237,MEDIUM LONG SHOT,229.691,,3.666,1.031,229.691,,3.666,1.031,15367471.0,,-0.993,-0.931,STATIC
LeDoulos_V1-0368,46.388,59.768,MEDIUM CLOSE-UP,3.603,0.164,0.322,-0.27,3.603,0.164,0.322,-0.27,224139.594,,0.443,-0.247,STATIC
LeDoulos_V1-0369,47.81,57.12,CLOSE-UP,10.32,0.002,0.006,2.555,10.32,0.002,0.006,2.555,690119.062,,3.028,0.754,STATIC
LeDoulos_V1-0370,47.817,61.201,MEDIUM CLOSE-UP,5.511,0.0,-0.06,-0.023,5.511,0.0,-0.06,-0.023,25501.127,,0.086,-0.113,STATIC
LeDoulos_V1-0371,55.418,53.033,MEDIUM LONG SHOT,,,,,,,,,,,,,
LeDoulos_V1-0372,18.423,17.581,MEDIUM LONG SHOT,,,,,,,,,,,,,
LeDoulos_V1-0376,32.87,42.824,MEDIUM LONG SHOT,,,,,,,,,,,,,
LeDoulos_V1-0378,41.017,63.519,MEDIUM CLOSE-UP,,,,,,,,,,,,,
LeDoulos_V1-0382,64.027,104.577,MEDIUM CLOSE-UP,,,,,,,,,4.282,,-3.468,-4.291,", PAN, TILT"
LeDoulos_V1-0383,69.314,91.681,MEDIUM LONG SHOT,,,,,,,,,2476.665,,-0.486,0.796,", PAN, TILT"
LeDoulos_V1-0384,63.19,76.833,MEDIUM LONG SHOT,,,,,,,,,9272092.0,,3.946,0.282,", PAN, TILT"
LeDoulos_V1-0385,19.282,16.716,UNKNOWN,0.04,0.004,-0.002,-0.001,0.04,0.004,-0.002,-0.001,213916.609,,-0.477,0.796,STATIC
LeDoulos_V1-0386,41.909,26.06,MEDIUM CLOSE-UP,444.839,0.003,-0.491,1.228,14352.102,63509.789,-4.51,-0.409,39676.848,,0.59,1.14,STATIC
LeDoulos_V1-0387,39.218,49.987,MEDIUM LONG SHOT,,,,,,,,,,,,,
LeDoulos_V1-0388,23.54,20.563,UNKNOWN,3728.671,,8.113,-0.328,443158.469,,36.254,-0.095,1326313.375,,2.082,1.172,STATIC
LeDoulos_V1-0389,15.179,6.675,UNKNOWN,,,,,,,,,1199566.75,,-4.658,-0.229,", PAN, TILT"
LeDoulos_V1-0390,31.102,30.342,MEDIUM LONG SHOT,,,,,,,,,12328857.0,,0.182,0.09,HANDHELD
LeDoulos_V1-0391,57.791,131.669,LONG SHOT,146.72,,1.945,-2.313,26202.131,,2.768,0.415,17570328.0,,-0.249,-0.402,STATIC
LeDoulos_V1-0392,64.771,95.832,MEDIUM LONG SHOT,11.294,11.294,-0.517,-0.0,11.294,11.294,-0.517,-0.0,721560.812,,-0.42,-0.056,STATIC
LeDoulos_V1-0393,39.275,21.414,UNKNOWN,47.327,1.741,-0.127,-0.021,47.387,1.689,-0.139,-0.063,312845.75,,0.046,0.059,STATIC
LeDoulos_V1-0394,35.746,27.085,MEDIUM LONG SHOT,209.469,,-0.158,0.077,35730.012,,-0.325,0.927,623091.812,,-0.274,0.053,STATIC
LeDoulos_V1-0395,53.42,51.713,MEDIUM LONG SHOT,,,,,,,,,,,,,
LeDoulos_V1-0396,52.431,48.868,MEDIUM CLOSE-UP,0.167,0.125,-0.256,0.091,0.017,0.026,-0.0,-0.0,1.753,,-0.215,0.072,STATIC
LeDoulos_V1-0397,66.687,52.302,MEDIUM LONG SHOT,67.637,6.997,-0.153,0.024,67.615,7.363,-0.16,-0.042,28107.648,,0.002,0.041,STATIC
LeDoulos_V1-0398,51.522,48.389,MEDIUM CLOSE-UP,4.07,1.249,-0.015,0.225,3.947,0.892,0.064,0.025,325265.094,,-0.079,0.234,STATIC
LeDoulos_V1-0399,60.383,46.5,MEDIUM CLOSE-UP,1.113,0.134,0.103,-0.008,3.249,6.133,0.005,0.027,53101.332,,0.075,0.035,STATIC
LeDoulos_V1-0400,52.539,49.77,MEDIUM CLOSE-UP,3.426,0.917,-0.013,-0.015,3.502,1.013,0.0,-0.0,573.119,,-0.016,-0.024,STATIC
LeDoulos_V1-0401,62.874,49.03,MEDIUM CLOSE-UP,0.569,0.345,0.007,-0.013,0.013,0.013,-0.0,0.0,235.412,,-0.0,0.004,STATIC
LeDoulos_V1-0402,51.168,48.587,MEDIUM LONG SHOT,1.296,1.214,0.0,-0.028,1.296,1.214,0.0,-0.028,4285.637,,0.013,-0.005,STATIC
LeDoulos_V1-0403,61.119,47.529,MEDIUM CLOSE-UP,0.137,0.088,0.054,-0.057,0.152,0.62,-0.009,0.01,38.331,,0.032,-0.056,STATIC
LeDoulos_V1-0404,52.603,48.472,MEDIUM CLOSE-UP,0.176,0.176,0.044,0.001,0.176,0.176,0.044,0.001,1123311.75,,-0.037,0.0,STATIC
LeDoulos_V1-0405,63.606,49.448,MEDIUM CLOSE-UP,0.264,,0.012,0.01,0.264,,0.012,0.01,2524.954,,0.007,-0.004,STATIC
LeDoulos_V1-0406,52.952,49.502,MEDIUM CLOSE-UP,0.7,1.098,0.036,-0.0,0.491,0.019,-0.012,0.026,2530969.25,,0.036,0.019,STATIC
LeDoulos_V1-0407,61.437,47.951,MEDIUM CLOSE-UP,0.219,0.149,0.093,0.01,0.68,3.134,-0.021,-0.002,593348.062,,0.141,0.01,STATIC
LeDoulos_V1-0408,51.237,47.973,MEDIUM CLOSE-UP,0.59,0.12,0.069,0.085,0.395,0.039,0.006,-0.003,0.944,,0.107,0.119,STATIC
LeDoulos_V1-0409,61.827,48.399,MEDIUM CLOSE-UP,0.259,0.127,0.023,0.009,0.277,1.195,0.004,-0.003,0.437,,0.023,0.028,STATIC
LeDoulos_V1-0410,51.645,48.542,MEDIUM CLOSE-UP,26.069,8.484,0.093,-0.017,26.837,9.099,0.174,-0.025,606136.5,,-0.031,-0.033,STATIC
LeDoulos_V1-0411,61.683,48.375,MEDIUM CLOSE-UP,0.203,0.086,0.029,0.04,1.07,0.202,-0.002,-0.002,232755.281,,0.015,0.048,STATIC
LeDoulos_V1-0412,52.045,48.607,MEDIUM CLOSE-UP,5.522,0.333,0.067,-0.009,5.909,0.11,0.033,0.01,1784696.125,,0.019,0.087,STATIC
LeDoulos_V1-0413,62.447,49.138,MEDIUM CLOSE-UP,0.202,0.197,0.028,-0.024,1.56,5.566,0.034,-0.016,1037934.188,,0.002,-0.004,STATIC
LeDoulos_V1-0414,51.479,48.309,MEDIUM CLOSE-UP,17.059,0.361,0.112,0.014,17.33,0.207,0.13,0.049,337757.281,,0.023,0.002,STATIC
LeDoulos_V1-0415,55.774,43.261,UNKNOWN,137.889,350.321,0.292,-0.262,2094.145,5427.929,1.445,-0.301,4500701.0,,0.064,-0.083,"PAN, TILT"
LeDoulos_V1-0416,40.25,38.172,MEDIUM CLOSE-UP,246.996,,-0.674,0.491,14058.131,,3.09,0.477,36596.23,,-0.449,-0.478,STATIC
LeDoulos_V1-0417,61.951,46.691,MEDIUM CLOSE-UP,109.45,,1.188,-0.896,976.294,,1.189,-0.801,357489.344,,0.383,-0.404,STATIC
LeDoulos_V1-0418,50.385,41.942,MEDIUM CLOSE-UP,135.38,,-3.534,4.302,78.699,,0.121,-0.32,1142306.5,,-2.151,2.692,STATIC
LeDoulos_V1-0419,36.174,41.351,MEDIUM CLOSE-UP,26.41,,0.06,0.103,26.41,,0.06,0.103,139740.891,,-0.123,0.039,STATIC
LeDoulos_V1-0420,54.394,41.067,MEDIUM CLOSE-UP,1.63,,-0.086,0.039,0.662,,-0.025,0.011,13128.338,,-0.04,0.017,STATIC
LeDoulos_V1-0421,37.12,41.975,MEDIUM CLOSE-UP,6.157,0.0,-0.053,0.03,6.157,0.0,-0.053,0.03,126721.039,,-0.059,0.051,STATIC
LeDoulos_V1-0422,53.982,41.021,MEDIUM CLOSE-UP,5607.146,,9.01,-10.466,5607.146,,9.01,-10.466,46733.52,,-5.251,0.758,STATIC
LeDoulos_V1-0423,37.967,43.184,MEDIUM CLOSE-UP,10.481,0.001,2.907,-1.133,16.893,111.196,-0.227,-0.241,152.529,,2.253,-1.568,STATIC
LeDoulos_V1-0424,50.515,39.248,MEDIUM CLOSE-UP,1013.004,,1.978,3.548,1013.004,,1.978,3.548,115337.633,,0.27,0.412,STATIC
LeDoulos_V1-0425,40.276,46.596,MEDIUM CLOSE-UP,5.091,1.889,-0.957,0.985,5.091,1.889,-0.957,0.985,1426257.125,,-1.044,1.152,STATIC
LeDoulos_V1-0426,43.392,35.558,MEDIUM CLOSE-UP,2.242,0.002,0.286,0.101,2.242,0.002,0.286,0.101,984.946,,0.529,0.027,STATIC
LeDoulos_V1-0427,38.896,47.377,MEDIUM CLOSE-UP,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,13818.627,,0.19,0.131,STATIC
LeDoulos_V1-0428,44.73,35.142,MEDIUM CLOSE-UP,334.291,,-9.944,0.178,394.323,,-0.462,-0.909,6908191.0,,-5.624,1.872,STATIC
LeDoulos_V1-0429,48.041,50.524,MEDIUM LONG SHOT,12.777,,-1.324,-1.87,12.777,,-1.324,-1.87,1624903.25,,-1.602,-0.834,STATIC
LeDoulos_V1-0430,44.589,42.026,MEDIUM LONG SHOT,,,,,,,,,7054979.0,,2.022,0.888,", PAN, TILT"
LeDoulos_V1-0431,65.55,67.197,MEDIUM LONG SHOT,0.109,0.044,0.005,-0.059,0.025,0.02,0.0,0.0,19.965,,0.015,-0.068,STATIC
LeDoulos_V1-0432,67.658,52.975,MEDIUM LONG SHOT,69.106,49.761,0.172,-0.855,157.239,563.341,0.191,-1.288,327605.531,,-0.534,-0.587,", TILT"
LeDoulos_V1-0433,67.42,59.241,MEDIUM LONG SHOT,7.097,7.097,-1.54,0.002,7.097,7.097,-1.54,0.002,165.048,,-0.629,-0.013,STATIC
LeDoulos_V1-0434,62.852,125.284,LONG SHOT,198.347,174.029,-1.046,-1.622,337.303,1273.626,-0.137,-0.053,9888490.0,,-7.555,-2.719,"PAN, TILT"
LeDoulos_V1-0435,76.62,66.185,MEDIUM CLOSE-UP,0.043,0.043,0.003,0.001,0.043,0.043,0.003,0.001,2409.861,,-0.752,0.371,STATIC
LeDoulos_V1-0436,64.814,63.115,MEDIUM CLOSE-UP,45.354,0.198,0.052,0.083,45.354,0.198,0.052,0.083,3202.63,,-0.153,0.127,STATIC
LeDoulos_V1-0437,77.585,67.221,MEDIUM CLOSE-UP,0.385,0.0,0.126,-0.046,0.385,0.0,0.126,-0.046,0.725,,0.179,-0.066,STATIC
