filename,contrast,exposure,scale,variance,border_variance,average_motion_x,average_motion_y,t_variance,t_border_variance,t_average_motion_x,t_average_motion_y,orb_variance,orb_border_variance,orb_average_motion_x,orb_average_motion_y,movement
LeDoulos_V1-0133,39.792,39.475,MEDIUM CLOSE-UP,198.961,,0.617,2.906,329.579,,0.066,-0.578,392797.812,,-0.06,1.308,STATIC
LeDoulos_V1-0134,50.963,66.54,MEDIUM CLOSE-UP,82.441,,-0.216,-0.385,82.441,,-0.216,-0.385,5150381.0,,-0.384,0.447,STATIC
LeDoulos_V1-0135,52.05,66.601,MEDIUM CLOSE-UP,0.734,0.367,0.474,0.142,0.734,0.367,0.474,0.142,22295376.0,,0.542,-0.137,STATIC
LeDoulos_V1-0136,52.336,70.706,MEDIUM CLOSE-UP,888.839,105.035,-1.156,-0.319,1014.264,163.29,-1.108,-0.74,603655.0,,0.071,-0.015,"PAN, TILT"
LeDoulos_V1-0137,53.817,80.105,LONG SHOT,,,,,,,,,33469802.0,,1.202,-1.372,"HANDHELD, PAN, TILT"
LeDoulos_V1-0138,35.35,57.846,MEDIUM LONG SHOT,,,,,,,,,46638764.0,,4.911,1.08,"HANDHELD, PAN, TILT"
LeDoulos_V1-0139,48.555,60.073,MEDIUM CLOSE-UP,131.404,,0.09,-2.015,15097.228,,-3.681,-0.618,8240106.5,,0.49,-1.607,STATIC
LeDoulos_V1-0140,51.08,65.347,LONG SHOT,,,,,,,,,10635601.0,,1.494,1.123,"HANDHELD, PAN, TILT"
LeDoulos_V1-0141,49.917,63.096,MEDIUM LONG SHOT,419.257,15.804,0.514,-0.824,431.039,124.855,0.309,-0.912,956353.938,,0.041,-0.053,"PAN, TILT"
LeDoulos_V1-0142,50.232,61.96,MEDIUM CLOSE-UP,25.848,,0.01,-0.005,27.419,,-0.078,-0.033,3748866.0,,0.092,0.034,STATIC
LeDoulos_V1-0143,31.784,46.108,LONG SHOT,,,,,,,,,44352920.0,,0.536,0.766,"HANDHELD, PAN, TILT"
LeDoulos_V1-0144,48.935,61.515,MEDIUM LONG SHOT,220.564,0.754,-0.443,2.056,220.935,0.749,-0.437,2.023,268381.5,,-0.114,0.151,STATIC
LeDoulos_V1-0145,40.069,63.021,MEDIUM LONG SHOT,355.339,,-0.406,-0.068,355.387,,-0.403,-0.07,24927446.0,,-0.479,0.138,STATIC
LeDoulos_V1-0146,55.059,63.263,MEDIUM CLOSE-UP,2.253,8.032,0.623,0.337,33865.691,132406.078,9.332,-1.563,368.235,,0.296,0.399,STATIC
LeDoulos_V1-0147,28.105,53.28,MEDIUM LONG SHOT,,,,,,,,,56428696.0,,-0.831,-0.496,"HANDHELD, PAN, TILT"
LeDoulos_V1-0148,,,,,,,,,,,,,,,,
LeDoulos_V1-0149,39.566,44.128,MEDIUM LONG SHOT,0.083,,0.14,0.022,0.083,,0.14,0.022,5.047,,0.168,0.06,STATIC
LeDoulos_V1-0150,41.147,42.784,MEDIUM LONG SHOT,646.681,,-3.745,-1.852,679.983,,0.991,-1.751,13151295.0,,-0.457,-0.212,STATIC
LeDoulos_V1-0151,43.093,55.813,MEDIUM LONG SHOT,22.662,16.4,0.396,-0.182,22.662,16.4,0.396,-0.182,29553902.0,,0.786,0.273,HANDHELDPAN
LeDoulos_V1-0152,41.177,48.939,MEDIUM LONG SHOT,326.788,,-2.918,1.125,7251.554,,3.661,2.598,1947067.125,,-9.396,-0.802,STATIC
LeDoulos_V1-0153,35.083,44.799,MEDIUM LONG SHOT,2.043,0.0,0.029,0.184,2.043,0.0,0.029,0.184,44675.77,,0.012,0.119,STATIC
LeDoulos_V1-0154,37.11,42.058,MEDIUM LONG SHOT,630.204,,9.706,3.177,989.99,,-0.516,1.127,31934758.0,,9.769,1.739,STATIC
LeDoulos_V1-0155,47.535,56.374,LONG SHOT,0.0,0.0,0.004,-0.001,0.0,0.0,0.004,-0.001,247958.281,,0.127,-0.049,STATIC
LeDoulos_V1-0156,38.086,43.168,MEDIUM CLOSE-UP,1.292,,-0.196,0.119,1.292,,-0.196,0.119,1077.325,,-0.254,0.075,STATIC
LeDoulos_V1-0157,44.752,59.402,MEDIUM LONG SHOT,0.442,0.0,0.299,-0.228,0.015,0.001,-0.003,-0.001,285.142,,0.528,-0.4,STATIC
LeDoulos_V1-0158,39.912,43.694,MEDIUM CLOSE-UP,1.864,0.002,-0.741,-1.447,1.864,0.002,-0.741,-1.447,7.179,,-0.698,-1.411,STATIC
LeDoulos_V1-0159,42.484,56.943,MEDIUM LONG SHOT,0.67,0.0,-0.365,0.059,0.67,0.0,-0.365,0.059,202498.172,,-0.582,-0.008,STATIC
LeDoulos_V1-0160,39.255,36.04,MEDIUM CLOSE-UP,,,,,,,,,978408768.0,,2.316,-5.289,"HANDHELD, PAN, TILT"
LeDoulos_V1-0161,,,,,,,,,,,,,,,,
LeDoulos_V1-0162,43.635,59.382,MEDIUM LONG SHOT,,,,,,,,,,,,,
LeDoulos_V1-0163,42.236,42.728,MEDIUM CLOSE-UP,2203.437,,24.675,1.715,2203.437,,24.675,1.715,520371392.0,,14.546,0.82,STATIC
LeDoulos_V1-0164,37.087,51.284,MEDIUM LONG SHOT,0.047,0.047,-0.141,0.006,0.047,0.047,-0.141,0.006,34620312.0,,1.556,-1.061,STATIC
LeDoulos_V1-0165,42.741,44.961,MEDIUM CLOSE-UP,16.682,,-3.069,0.707,1811.477,,-2.825,-2.19,55188.355,,-2.945,0.072,STATIC
LeDoulos_V1-0166,47.726,70.098,MEDIUM LONG SHOT,3.408,0.0,-0.007,-0.134,3.408,0.0,-0.007,-0.134,1.388,,0.219,-0.003,STATIC
LeDoulos_V1-0167,37.303,42.717,MEDIUM CLOSE-UP,496.17,,-3.428,7.956,415.1,,-1.925,0.222,3781.931,,-3.589,5.873,STATIC
LeDoulos_V1-0168,47.294,69.676,MEDIUM LONG SHOT,0.42,0.001,0.123,-0.014,0.42,0.001,0.123,-0.014,2137939.75,,0.203,-0.073,STATIC
LeDoulos_V1-0169,40.944,43.92,MEDIUM CLOSE-UP,52.84,2.338,-0.282,-0.084,97.131,2.732,0.021,-0.356,48252.918,,-0.468,0.34,STATIC
LeDoulos_V1-0170,49.57,71.961,CLOSE-UP,8.591,0.0,-0.259,-0.263,8.591,0.0,-0.259,-0.263,10.43,,0.114,-0.071,STATIC
LeDoulos_V1-0171,39.116,42.119,MEDIUM CLOSE-UP,11.316,0.001,-0.03,-0.077,11.316,0.001,-0.03,-0.077,233728.078,,-0.11,-0.151,STATIC
LeDoulos_V1-0172,47.685,69.103,CLOSE-UP,0.302,0.0,0.082,0.036,0.302,0.0,0.082,0.036,26449.201,,0.101,0.035,STATIC
LeDoulos_V1-0173,38.278,42.229,MEDIUM CLOSE-UP,1.662,,-0.284,-0.551,1.662,,-0.284,-0.551,5.458,,-0.209,-0.382,STATIC
LeDoulos_V1-0174,47.515,66.763,MEDIUM LONG SHOT,0.258,0.0,0.004,0.083,1.26,4.575,-0.065,-0.031,2797339.75,,-0.038,0.096,STATIC
LeDoulos_V1-0175,41.212,40.651,MEDIUM CLOSE-UP,115.657,,0.368,1.678,111.069,,-0.003,-0.232,2044281.0,,-0.012,1.528,STATIC
LeDoulos_V1-0176,44.41,71.942,MEDIUM LONG SHOT,209.348,173.377,0.401,-0.262,208.011,163.315,0.406,-0.263,6696414.0,,0.068,0.177,"PAN, TILT"
LeDoulos_V1-0177,37.004,28.393,MEDIUM LONG SHOT,,,,,,,,,97315296.0,,-5.499,1.998,"HANDHELD, PAN, TILT"
LeDoulos_V1-0178,48.691,71.006,MEDIUM LONG SHOT,0.264,0.0,0.044,0.075,0.264,0.0,0.044,0.075,270587.969,,0.03,0.044,STATIC
LeDoulos_V1-0179,54.079,48.279,MEDIUM CLOSE-UP,24.593,,-0.177,-1.81,179.317,,-0.564,-0.544,248379.469,,-0.594,-1.681,STATIC
LeDoulos_V1-0180,45.748,66.462,MEDIUM LONG SHOT,0.273,0.256,0.072,0.116,0.273,0.256,0.072,0.116,7296425.5,,0.025,0.169,STATIC
LeDoulos_V1-0181,29.555,47.18,UNKNOWN,138.04,0.0,1.331,-0.272,139.497,57.888,0.936,-0.305,24427.355,,0.222,-0.0,STATIC
LeDoulos_V1-0182,45.133,53.07,MEDIUM LONG SHOT,0.643,,0.023,0.014,0.553,,0.006,-0.001,184932.047,,0.027,0.005,STATIC
LeDoulos_V1-0183,25.189,20.726,LONG SHOT,,,,,,,,,35074868.0,,0.431,0.393,"HANDHELD, PAN, TILT"
LeDoulos_V1-0184,18.017,19.618,UNKNOWN,,,,,,,,,32985478.0,,-0.183,-0.061,HANDHELD
LeDoulos_V1-0185,28.376,29.566,MEDIUM LONG SHOT,,,,,,,,,,,,,
LeDoulos_V1-0186,23.507,20.936,LONG SHOT,,,,,,,,,,,,,
LeDoulos_V1-0187,45.835,44.227,LONG SHOT,288.699,,0.714,-0.374,312.54,,0.321,-0.087,1951729.875,,0.058,-0.224,STATIC
LeDoulos_V1-0188,42.958,36.266,MEDIUM LONG SHOT,,,,,,,,,33638488.0,,-8.703,0.228,"HANDHELD, PAN, TILT"
LeDoulos_V1-0189,57.013,63.979,MEDIUM LONG SHOT,,,,,,,,,3944795.75,,6.329,-1.075,", PAN, TILT"
LeDoulos_V1-0190,47.156,48.048,MEDIUM LONG SHOT,,,,,,,,,27109540.0,,0.49,1.903,"HANDHELD, PAN, TILT"
LeDoulos_V1-0191,14.841,16.662,MEDIUM LONG SHOT,,,,,,,,,,,,,
LeDoulos_V1-0192,42.565,39.724,MEDIUM LONG SHOT,73.99,,-1.23,-0.935,63.365,,0.112,0.216,2216560.5,,-0.249,0.085,STATIC
LeDoulos_V1-0193,46.051,57.143,LONG SHOT,6.274,0.147,0.047,0.003,6.304,1.009,0.085,0.039,252137.906,,-0.019,-0.004,STATIC
LeDoulos_V1-0194,46.704,51.786,MEDIUM LONG SHOT,,,,,,,,,16999312.0,,-8.473,-0.144,"HANDHELD, PAN"
LeDoulos_V1-0195,48.099,52.769,MEDIUM LONG SHOT,,,,,,,,,18730940.0,,4.004,0.236,"HANDHELD, PAN, TILT"
LeDoulos_V1-0196,42.213,52.51,MEDIUM CLOSE-UP,522.965,51.35,7.141,-0.113,584.826,15.04,-2.656,0.119,3139458.25,,7.199,-0.262,PAN
LeDoulos_V1-0197,33.492,24.97,UNKNOWN,0.153,0.0,-0.0,0.018,0.033,0.183,-0.0,-0.001,13330.766,,0.013,0.014,STATIC
LeDoulos_V1-0198,42.992,54.711,MEDIUM LONG SHOT,52.5,9.694,1.032,-0.047,6882.112,16.691,0.858,0.023,468873.562,,-0.212,-0.043,STATIC
LeDoulos_V1-0199,35.842,29.466,UNKNOWN,36.851,,-0.89,-0.72,123.178,,-0.093,0.008,15274245.0,,0.458,-0.511,STATIC
LeDoulos_V1-0200,18.083,18.544,UNKNOWN,,,,,,,,,,,,,
LeDoulos_V1-0201,27.556,23.861,UNKNOWN,0.069,,0.001,0.002,0.017,,-0.004,-0.0,4767.308,,-0.016,-0.01,STATIC
LeDoulos_V1-0202,40.161,39.851,MEDIUM LONG SHOT,0.0,0.0,-0.002,0.004,0.0,0.0,-0.002,0.004,73.106,,-0.772,-0.013,STATIC
LeDoulos_V1-0203,17.885,20.62,UNKNOWN,15.263,,-0.387,0.024,15.625,,0.021,-0.136,600636.188,,0.198,-0.007,STATIC
LeDoulos_V1-0204,34.316,28.651,UNKNOWN,0.174,,-0.012,0.001,0.078,,-0.012,-0.001,222930.031,,-0.001,-0.023,STATIC
LeDoulos_V1-0205,40.294,45.726,MEDIUM LONG SHOT,909.078,56.431,1.337,0.291,975.582,50.962,-0.989,-0.674,4988812.0,,0.572,0.311,"PAN, TILT"
LeDoulos_V1-0206,44.293,42.181,LONG SHOT,,,,,,,,,321300800.0,,-46.175,0.951,"HANDHELD, PAN, TILT"
LeDoulos_V1-0207,32.968,19.411,UNKNOWN,6381.969,,-11.005,0.544,571590.25,,43.106,-19.204,14391360.0,,-16.074,1.304,STATIC
LeDoulos_V1-0208,51.346,62.442,LONG SHOT,,,,,,,,,,,,,
LeDoulos_V1-0209,34.754,29.074,UNKNOWN,,,,,,,,,,,,,
LeDoulos_V1-0210,41.219,51.365,MEDIUM LONG SHOT,,,,,,,,,,,,,
LeDoulos_V1-0211,32.088,33.778,LONG SHOT,30.455,,4.676,-1.281,33.421,,-0.871,-0.083,2631.484,,4.994,-0.818,STATIC
LeDoulos_V1-0212,22.595,24.402,MEDIUM LONG SHOT,1514.207,,8.366,2.764,34935.922,,2.789,4.202,2330199.25,,-17.659,0.552,STATIC
LeDoulos_V1-0213,28.35,27.086,LONG SHOT,,,,,,,,,,,,,
LeDoulos_V1-0214,27.153,31.826,MEDIUM LONG SHOT,,,,,,,,,,,,,
LeDoulos_V1-0215,14.928,36.44,UNKNOWN,228.385,4.438,1.112,-1.572,228.385,4.438,1.112,-1.572,12256505.0,,1.605,-2.702,STATIC
LeDoulos_V1-0216,27.301,31.657,MEDIUM LONG SHOT,425.511,131.651,-0.005,-4.09,6340.832,924.42,3.723,0.143,797503.125,,0.114,-4.449,", TILT"
LeDoulos_V1-0217,34.554,25.27,MEDIUM LONG SHOT,,,,,,,,,,,,,
LeDoulos_V1-0218,35.942,43.062,MEDIUM CLOSE-UP,,,,,,,,,218756560.0,,8.608,-3.188,"HANDHELD, PAN, TILT"
LeDoulos_V1-0219,33.222,35.232,LONG SHOT,,,,,,,,,,,,,
LeDoulos_V1-0220,10.53,14.978,EXTREME CLOSE-UP,,,,,,,,,29604164.0,,2.073,-3.109,"HANDHELD, PAN, TILT"
LeDoulos_V1-0221,3.619,8.779,UNKNOWN,,,,,,,,,,,,,
LeDoulos_V1-0222,64.591,80.086,EXTREME CLOSE-UP,0.0,0.0,-0.001,-0.001,0.0,0.0,-0.001,-0.001,640.043,,0.124,0.171,STATIC
LeDoulos_V1-0223,61.119,58.599,MEDIUM LONG SHOT,0.305,,0.019,0.091,0.305,,0.019,0.091,24736.426,,0.041,0.083,STATIC
